Release_No	PGS_integ
ABBM071059	0.2430450746934952
ABBM012277	0.4879066118942659
ABBM071022	0.6334113632055723
ABBM071392	0.4952304789350129
ABBM039165	0.484071070850284
ABBM078828	0.6485634556448688
ABBM071029	0.7264981791095253
ABBM071512	0.6309609601009782
ABBM085803	0.965660201199341
ABBM074771	0.5551529305201757
ABBM070964	0.8771162242834297
ABBM079321	0.511012019094081
ABBM013109	0.7732389385684427
ABBM084559	0.524955618241793
ABBM015282	0.6229610108446128
ABBM073550	0.5155003795701785
ABBM013521	0.5883541244013517
ABBM069697	0.7729183897700755
ABBM082702	0.5863266028880263
ABBM072030	0.6347545008775124
ABBM077662	0.6567608862661413
ABBM070891	0.5598065301550008
ABBM066808	0.9067029840877264
ABBM080126	0.122665943338687
ABBM074930	0.912473943944612
ABBM072927	0.0867872150558183
ABBM014000	0.7958232743800158
ABBM083185	0.5827045533646269
ABBM084428	0.2779289306470874
ABBM071599	0.921190689496748
ABBM074922	0.7807483685421285
ABBM013322	0.3062130355512235
ABBM012400	0.8229827240416339
ABBM071672	0.4055951650351614
ABBM012548	0.5877968624597306
ABBM086667	0.5474217848577165
ABBM014773	0.8051171716683885
ABBM087045	0.3046217054008559
ABBM074749	0.3340346762179243
ABBM072928	0.4813731279588608
ABBM068989	0.6624977555728543
ABBM000763	0.9080785088241998
ABBM010689	0.3910890549387333
ABBM023802	0.7092155648664978
ABBM012378	0.6624547383973998
ABBM048206	0.6943658532750727
ABBM075927	1.0987534049882397
ABBM075769	0.4256271987202735
ABBM071486	0.6870914457993779
ABBM079163	0.8341782454622265
ABBM071447	0.7456798652955954
ABBM088143	0.2282251026329018
ABBM000123	0.6699650817080652
ABBM078998	0.7168380909312643
ABBM078537	0.4390891249831073
ABBM082286	0.9606101451326764
ABBM015652	0.0579491980326541
ABBM079134	0.3859711113501111
ABBM059613	0.4870183179151284
ABBM050699	0.2320451115958686
ABBM056423	0.8950246796317911
ABBM071513	0.2818671433883342
ABBM075190	0.6621625184361698
ABBM072625	0.136961137947364
ABBM070508	0.6186347651362698
ABBM012403	0.4224832910796008
ABBM067844	0.9476197458540356
ABBM020078	1.0948822229661728
ABBM067985	0.5111033919976914
ABBM091445	0.4735130559112828
ABBM012278	0.5910753943003154
ABBM013973	0.4736951442728855
ABBM018319	0.2483014103433801
ABBM090429	0.934629351945147
ABBM014426	0.6494830105016693
ABBM013546	0.7650209784944728
ABBM014033	0.6740468698107812
ABBM075730	0.6628129361075752
ABBM084829	0.7029894719399132
ABBM086675	0.4543274445950638
ABBM015706	1.2177005638580325
ABBM071712	0.1392052878343294
ABBM095622	0.2629555545110658
ABBM012721	0.4508904970765451
ABBM068764	0.3496783612726245
ABBM081513	0.7123147841379699
ABBM102820	0.0220970251464606
ABBM012366	0.4128541249391008
ABBM014948	0.5403366940536862
ABBM077732	0.3323613067768472
ABBM070577	0.4931422737564962
ABBM091543	0.6929702500986188
ABBM071557	0.6636469348280696
ABBM076705	0.8154790972229848
ABBM070649	0.0794175809811185
ABBM086691	0.3432250097314916
ABBM088156	0.4282631755681214
ABBM014327	0.6708021730497764
ABBM078937	0.6362742503882988
ABBM088742	0.650043811966022
ABBM078480	0.258636167789549
ABBM016019	0.5045555260178375
ABBM010081	0.7326419949028995
ABBM015588	0.6995414674493414
ABBM014787	0.4225352811838138
ABBM086431	0.5699417008590459
ABBM071504	0.1183633473026282
ABBM080411	0.8260310579867992
ABBM000051	0.5464932861138551
ABBM021337	0.2750550833466401
ABBM072025	0.7678836428203741
ABBM072052	0.3742638579099965
ABBM084508	0.4130796834603669
ABBM013058	0.4537873505017037
ABBM074854	0.3253091921278511
ABBM015975	0.9243954501188384
ABBM073336	0.3766876242479325
ABBM085249	0.5784488967041903
ABBM084528	0.5669946521660234
ABBM021900	0.4063568544325561
